Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
5,SR,G,6-4,211,"East Chicago, IN",Montverde Academy,,"16.6 Pts, 4.6 Reb, 3.3 Ast",
3,FR,G,6-0,170,"West Linn, OR",West Linn (OR),24 (2023),"12.8 Pts, 2.8 Reb, 2.8 Ast",
1,SR,C,6-11,230,"Bamako, Mali",Sunrise Christian Academy,,"17.0 Pts, 9.2 Reb, 1.6 Ast",
2,JR,F,6-5,190,"Fort Myers, FL",West Oaks Academy,,"7.6 Pts, 3.6 Reb, 1.8 Ast",
10,FR,F,6-9,200,"Baltimore, MD",Baltimore Poly (MD); Montverde Academy (FL),14 (2023),"7.3 Pts, 4.9 Reb, 1.1 Ast",
,JR,G,6-4,210,"Titusville, FL",Titusville (FL); Astronaut (FL),,"7.2 Pts, 2.4 Reb, 1.0 Ast",
,JR,G,6-3,180,"De Beque, CO",De Beque (CO); Wasatch Academy (UT),,"6.1 Pts, 2.7 Reb, 1.1 Ast",
9,SR,G,6-2,163,"Montr̩al, Canada",Thornlea Secondary (ON),,"7.9 Pts, 2.2 Reb, 2.3 Ast",
24,SR,F,6-10,249,"Bamako, Mali",Massanutten Military Academy (VA),,"2.0 Pts, 2.8 Reb, 0.4 Ast",
32,JR,C,7-0,215,"Central Point, OR",Crater HS,20 (2021),"10.0 Pts, 4.4 Reb, 0.8 Ast",
2,JR,G,6-3,170,"Houston, TX",Spring Woods (TX),,"10.0 Pts, 2.4 Reb, 2.2 Ast",
11,FR,F,6-7,200,"Portland, OR",Jefferson (OR); AZ Compass Prep (AZ),26 (2023),"1.2 Pts, 0.6 Reb, 0.2 Ast",
12,JR,F,6-7,210,"Mauldin, SC",Mauldin HS,,"0.4 Pts, 0.5 Reb, 0.0 Ast",
23,SR,G,6-2,175,"Wilsonville, OR",Wilsonville HS,,"0.2 Pts, 0.0 Reb, 0.0 Ast",
20,SO,,,,,,,"0.0 Pts, 0.5 Reb, 0.0 Ast",
15,SO,G,6-3,175,"Stockton, CA","Lincoln (Stockton, CA)",,"0.0 Pts, 0.0 Reb, 0.0 Ast",
