Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
2,SR,G,5-8,165,"Mount Vernon, NY",Mount Vernon (NY),,"16.6 Pts, 3.1 Reb, 4.2 Ast",
4,SR,G,5-9,163,"Sumter, SC",Lakewood (SC),,"13.9 Pts, 3.7 Reb, 3.4 Ast",
5,SO,F,6-7,215,"Spring Valley, NY",Our Saviour Lutheran (NY); Montvale St. Joseph (NJ),,"13.6 Pts, 4.8 Reb, 1.4 Ast",
1,JR,G,6-4,160,"Bronx, NY",Monsignor Scanlan HS,,"10.6 Pts, 4.8 Reb, 1.0 Ast",
11,JR,G,6-4,175,"Columbus, OH",Reynoldsburg (OH),,"7.3 Pts, 4.6 Reb, 1.0 Ast",
3,SR,G,6-3,180,"Prince George's County, MD",St. Andrew's Episcopal (MD),,"7.3 Pts, 3.5 Reb, 0.6 Ast",
13,FR,F,6-6,196,"Suffern, NY",Suffern (NY); Millbrook Prep (NY),,"3.2 Pts, 2.4 Reb, 1.0 Ast",
21,SO,F,6-4,222,"Waldorf, MD",Westlake (MD),,"3.5 Pts, 2.5 Reb, 0.5 Ast",
12,JR,G,6-2,200,"St-Bruno-De-Montarville, Canada",Brebeuf HS,,"3.6 Pts, 3.1 Reb, 0.9 Ast",
24,FR,G,6-1,194,"Pittsburgh, PA",Chartiers Valley (PA),,"1.7 Pts, 0.9 Reb, 1.0 Ast",
22,FR,G,6-4,173,"Auburn, WA",Auburn (WA),,"2.0 Pts, 0.8 Reb, 0.5 Ast",
25,SR,F,6-6,250,"Newark, NJ",Hudson Catholic (NJ),,"1.0 Pts, 0.3 Reb, 0.2 Ast",
14,JR,F,6-8,230,"Montr̩al, Canada",Vanier (QC),,"1.0 Pts, 0.9 Reb, 0.4 Ast",
99,SO,G,5-11,165,"Tarrytown, NY",The Gunnery HS,,"1.5 Pts, 0.0 Reb, 1.0 Ast",
