Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
2,SO,F,6-7,232,"Spokane, WA",Mt. Spokane HS,,"14.1 Pts, 5.3 Reb, 1.8 Ast",
12,SR,G,6-5,194,"Boise, ID",Bishop Kelly HS,,"14.0 Pts, 4.6 Reb, 1.8 Ast",
11,JR,G,6-7,215,"San Diego, CA",Saint Augustine HS,92 (2020),"11.5 Pts, 4.8 Reb, 0.8 Ast",
10,SR,G,6-2,185,"Phoenix, AZ",Shadow Mountain High School,,"13.4 Pts, 6.2 Reb, 3.8 Ast",
23,SR,F,6-7,201,"Spokane, WA",Lewis & Clark (WA),,"10.2 Pts, 5.6 Reb, 1.3 Ast",
25,SR,C,6-10,225,"Olathe, KS",Olathe North (KS),,"3.2 Pts, 2.7 Reb, 0.4 Ast",
15,FR,G,6-2,185,"Burley, ID",Burley (ID),,"3.1 Pts, 1.7 Reb, 1.3 Ast",
13,JR,G,6-5,175,"Loznica, Serbia",ABS Primorje (Montenegro),,"1.9 Pts, 0.5 Reb, 0.4 Ast",
3,FR,G,6-6,204,"Pasco, WA",Chiawana HS,,"1.4 Pts, 1.7 Reb, 0.3 Ast",
1,FR,G,6-10,220,"Luanda, Angola",AZ Compass Prep (AZ),,"2.0 Pts, 1.5 Reb, 0.3 Ast",
14,SR,C,6-11,235,"Abidjan, C̫te d'Ivoire",Putnam Science (CT),,"1.8 Pts, 1.2 Reb, 0.0 Ast",
4,SO,F,6-11,212,"Glen Allen, VA",Trinity Episcopal School,,"0.9 Pts, 1.1 Reb, 0.1 Ast",
22,JR,G,6-2,185,"Montesano, WA",Montesano HS,,"0.0 Pts, 0.0 Reb, 0.3 Ast",
