Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
13,SR,F,6-9,242,"Spanaway, WA",Orting (WA),,"15.3 Pts, 7.6 Reb, 1.5 Ast",
,FR,G,6-2,175,"Tyrone, GA",Sandy Creek HS,,"14.8 Pts, 3.1 Reb, 3.8 Ast",
0,JR,F,6-8,205,"Sacramento, CA",Folsom (CA),,"12.6 Pts, 4.6 Reb, 1.2 Ast",
,SR,F,6-8,215,"Kriva Palanka, North Macedonia",Reale Mutua Torino HS,,"9.7 Pts, 5.6 Reb, 1.3 Ast",
,JR,F,6-11,255,"Sunshine Coast, Australia",Kawana Waters (Australia),,"7.0 Pts, 4.4 Reb, 1.2 Ast",
,FR,C,6-11,245,"Enugu Agidi, Nigeria",NBA Academy Africa (Senegal),,"4.7 Pts, 5.0 Reb, 0.1 Ast",
,SO,G,6-6,195,"Mulhouse, France",Saint-Quentin BB (France),,"4.3 Pts, 3.4 Reb, 2.1 Ast",
12,FR,G,6-3,170,"West Seattle, WA",West Seattle (WA); South Kent School (CT),,"3.7 Pts, 0.9 Reb, 0.5 Ast",
,SR,G,6-5,190,"Snoqualmie, WA",Mount Si HS,,"1.6 Pts, 0.8 Reb, 0.5 Ast",
,SR,G,6-0,180,"Bolingbrook, IL",Bolingbrook HS,,"6.2 Pts, 2.0 Reb, 1.8 Ast",
15,SO,F,6-8,205,"San Anselmo, CA",Marin Catholic (CA),,"0.4 Pts, 0.4 Reb, 0.3 Ast",
,SO,G,6-2,175,"Spokane, WA",Central Valley (WA),,"0.0 Pts, 0.3 Reb, 0.0 Ast",
5,SR,G,6-0,160,"Mill Creek, WA",Jackson (WA),,"0.0 Pts, 0.0 Reb, 0.0 Ast",
