Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
21,JR,F,6-9,240,,The Patrick School,69 (2020),"17.2 Pts, 7.7 Reb, 1.3 Ast",
24,SO,G,6-5,185,"Gaithersburg, MD",DeMatha Catholic HS,48 (2021),"16.2 Pts, 3.8 Reb, 1.3 Ast",
2,SR,G,6-5,200,"El Paso, TX",Burges HS,,"10.1 Pts, 4.5 Reb, 4.7 Ast",
11,FR,F,6-8,210,"Southborough, MA",Algonquin Regional (MA); New Hampton (NH); IMG Academy (FL),,"9.3 Pts, 4.5 Reb, 1.7 Ast",
32,FR,C,7-2,265,"Bristol, CT",Bristol Central (CT),37 (2022),"6.9 Pts, 5.6 Reb, 0.5 Ast",
44,JR,G,6-6,210,"Amsterdam, NY",Albany Academy,50 (2020),"6.7 Pts, 6.2 Reb, 4.7 Ast",
3,SR,G,6-3,165,"Novato, CA",Marin Catholic HS,,"5.8 Pts, 1.7 Reb, 1.2 Ast",
4,SR,G,6-4,195,"Buford, GA",Mountain View HS,,"5.2 Pts, 1.2 Reb, 0.8 Ast",
5,JR,G,6-2,197,"Queens, NY",Putnam Science Academy,64 (2020),"2.1 Pts, 1.3 Reb, 1.8 Ast",
13,JR,F,6-9,225,"Brooklyn, NY",The MacDuffie School,,"0.8 Pts, 0.6 Reb, 0.2 Ast",
35,SO,F,6-10,205,"Lom̩, Togo",The Patrick School,47 (2021),"0.9 Pts, 0.8 Reb, 0.1 Ast",
33,FR,G,6-7,200,"Xanthi, Greece",PAOK Thessaloniki (Greece),,"0.3 Pts, 0.4 Reb, 0.1 Ast",
20,JR,G,6-1,175,"Glastonbury, CT",St. Anthony HS,,"0.1 Pts, 0.2 Reb, 0.0 Ast",
30,FR,F,6-9,205,"Gan Yavne, Israel",Gimnasia Realit (Israel),,"0.0 Pts, 0.1 Reb, 0.0 Ast",
41,FR,G,6-3,155,"Brooklyn, NY",L̩man Manhattan Prep (NY); Montverde Academy (FL),,"0.0 Pts, 0.0 Reb, 0.0 Ast",
40,FR,G,6-4,160,"Bristol, CT",South Kent School (CT),,"0.0 Pts, 0.0 Reb, 0.0 Ast",
