Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
10,SO,F,6-7,235,"Baltimore, MD",Baltimore Polytechnic HS,87 (2020),"16.8 Pts, 7.9 Reb, 1.7 Ast",
32,SR,G,6-5,200,"Baltimore, MD",Mount Saint Joseph College,89 (2017),"13.4 Pts, 3.6 Reb, 2.5 Ast",
1,FR,G,6-4,185,"Cordova, TN",Evangelical Christian School,,"7.4 Pts, 1.4 Reb, 1.2 Ast",
22,SO,G,6-3,182,"Cumberland, RI",St. George's School,,"6.7 Pts, 3.7 Reb, 5.9 Ast",
12,SO,G,6-8,218,"Montr̩al, Canada",NBA Academy Latin America,,"6.6 Pts, 3.3 Reb, 0.9 Ast",
5,JR,G,6-3,185,"Detroit, MI",East English Village Preparatory Academy,,"7.0 Pts, 2.0 Reb, 1.3 Ast",
35,SR,F,6-10,220,"Biemnon, South Sudan",Kearns HS,,"5.6 Pts, 3.9 Reb, 0.6 Ast",
13,FR,F,6-9,205,"Chandler, AZ",Destert Vista HS,99 (2020),"5.5 Pts, 3.3 Reb, 0.9 Ast",
23,FR,F,6-7,215,"Brookfield, WI",Brookfield Central HS,,"2.8 Pts, 0.9 Reb, 0.2 Ast",
4,FR,G,6-2,190,"Reading, PA",Wilson HS,91 (2021),"2.8 Pts, 1.4 Reb, 0.9 Ast",
2,FR,G,6-5,185,"Davenport, IA",Assumption HS,,"2.1 Pts, 0.9 Reb, 0.4 Ast",
21,FR,G,6-1,190,"Plano, TX",John Paul II HS,,"0.0 Pts, 0.3 Reb, 0.0 Ast",
41,SO,G,6-2,195,"Menlo Park, CA",Sacred Heart Prep School,,"0.0 Pts, 0.0 Reb, 0.0 Ast",
42,SO,F,6-6,195,"Mequon, WI",Homestead HS,,"0.0 Pts, 0.3 Reb, 0.0 Ast",
