Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
0,SR,G,6-2,180,"Albany, NY",Gould Academy,,"19.0 Pts, 3.3 Reb, 5.0 Ast",
13,JR,G,6-6,215,"Lafayette, IN",Jefferson HS,,"14.6 Pts, 7.5 Reb, 2.6 Ast",
5,SR,G,6-4,186,"San Diego, CA",La Jolla Country Day (CA),,"12.7 Pts, 3.0 Reb, 2.5 Ast",
2,SO,F,6-7,200,"Glenbrook, IL",Glenbrook South (IL),,"8.8 Pts, 4.3 Reb, 1.1 Ast",
3,SR,G,6-2,190,"Newton, KS",Sunrise Christian HS,,"11.6 Pts, 3.9 Reb, 1.4 Ast",
34,SR,C,7-0,255,"Clarkston, MI",Clarkston HS,,"5.3 Pts, 4.3 Reb, 1.8 Ast",
33,SO,F,6-10,255,"Montr̩al, Canada",Northfield Mount Hermon (MA),,"3.8 Pts, 2.1 Reb, 0.6 Ast",
32,SR,F,6-9,220,"Charlotte, NC",Charlotte Christian School,,"2.1 Pts, 2.0 Reb, 0.9 Ast",
43,SO,G,6-6,175,"Blue Bell, PA",Germantown Academy (PA),,"2.4 Pts, 1.7 Reb, 0.5 Ast",
11,FR,G,6-2,180,"Medford, MA",Bradford Christian (MA),,"0.3 Pts, 0.5 Reb, 0.4 Ast",
20,SO,G,6-6,190,"Oak Park, IL",Oak Park River Forest (IL),,"0.4 Pts, 0.6 Reb, 0.2 Ast",
54,SO,F,6-9,210,"Enderlin, ND",Enderlin (ND),,"0.3 Pts, 0.0 Reb, 0.0 Ast",
