Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary
3,JR,F,6-7,215,"Uxbridge, MA",Marianapolis Prep,,"16.1 Pts, 7.7 Reb, 1.0 Ast",
33,SR,F,6-10,255,"Winchester, VA",St. James School,,"13.7 Pts, 6.0 Reb, 2.9 Ast",
0,SR,G,5-9,160,"Kansas City, MO",The Barstow School,,"13.3 Pts, 3.5 Reb, 5.4 Ast",
4,SR,F,6-7,225,"Montr̩al, Canada",College Jean-De-Brebeuf,,"9.1 Pts, 4.4 Reb, 1.8 Ast",
5,SR,G,6-4,230,"Richmond, VA",St. Christopher's School,,"6.0 Pts, 1.8 Reb, 0.3 Ast",
15,SR,F,6-9,230,"Hamilton, Canada",TRC Academy,,"4.1 Pts, 2.4 Reb, 1.0 Ast",
22,SR,G,6-4,195,"Helsinki, Finland",Helsinki Basketball Academy,,"4.5 Pts, 2.5 Reb, 1.1 Ast",
21,SO,G,6-0,160,"Pittsburgh, PA",First Love Academy,,"2.3 Pts, 1.1 Reb, 0.7 Ast",
13,JR,G,6-6,190,"Hillsborough, NC",Hargrave Military Academy,,"2.0 Pts, 1.0 Reb, 0.4 Ast",
24,SO,G,6-5,175,"Wilson, NC",Greenfield School,,"1.9 Pts, 0.7 Reb, 0.3 Ast",
2,SR,F,6-9,215,"Harlem, NY",Iona Prep,,"0.9 Pts, 0.4 Reb, 0.3 Ast",
11,FR,G,6-5,195,"Willingboro, NJ",Archbishop Wood HS,,"0.6 Pts, 0.0 Reb, 0.1 Ast",
34,JR,G,6-4,190,"West Chester, PA",St. Joseph's Prep,,"0.0 Pts, 1.0 Reb, 0.0 Ast",
31,SR,G,6-4,190,"Haverford, PA",Fordham Prep,,"0.0 Pts, 0.3 Reb, 0.0 Ast",
10,SR,F,6-6,220,"New Berlin, WI",Eisenhower HS,,"0.0 Pts, 0.3 Reb, 0.3 Ast",
25,SO,G,6-3,180,"Alexandria, VA",Georgetown Prep,,"0.0 Pts, 0.0 Reb, 0.0 Ast",
